# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
"12126-0 ","TINTA A.T.INKS ATS 175 ULTRA ELITE C/ CHIP YELLOW 1L (GRF)-. ","1,00 ","UN ","585,00 ","514,80 ","585,00","12,00%"
"12113-0 ","TINTA A.T.INKS ECO-SOL LITE BLACK 1L (GRF)-. ","2,00 ","UN ","149,76 ","263,58 ","299,52","12,00%"
"12114-0 ","TINTA A.T.INKS ECO-SOL LITE CYAN 1L (GRF)-. ","1,00 ","UN ","122,81 ","134,47 ","122,81","-9,50%"
"12115-0 ","TINTA A.T.INKS ECO-SOL LITE MAGENTA 1L (GRF)-. ","4,00 ","UN ","146,61 ","535,58 ","586,45","8,67%"
"12116-0 ","TINTA A.T.INKS ECO-SOL LITE YELLOW 1L (GRF)-. ","4,00 ","UN ","161,70 ","535,97 ","646,78","17,13%"
,"Total : ",,,,,,
,,"18,00 ",,"291,34","4.580,43 ","5.244,17","12,66%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0040/ ",0078
PB,JOAO PESSOA,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12172-0 ","TINTA INKBANK CANON C1800/CL190 BLACK 135 ML-. ","3,00 ","UN ","10,00 ","12,26 ","30,00","59,13%"
"12167-0 ","TINTA INKBANK CANON C1800/CL190 CYAN 70ML (CX C/ 100)-. ","6,00 ","UN ","13,33 ","15,95 ","80,00","80,06%"
"12168-0 ","TINTA INKBANK CANON C1800/CL190 MAG 70ML (CX C/ 100)-. ","4,00 ","UN ","12,50 ","10,63 ","50,00","78,74%"
"12169-0 ","TINTA INKBANK CANON C1800/CL190 YELL 70ML (CX C/ 100)-. ","4,00 ","UN ","12,50 ","10,64 ","50,00","78,72%"
"12146-0 ","TINTA INKBANK EPSON E850 BLACK 1LT (CX C/ 20)-. ","113,00 ","UN ","36,37 ","2.436,42 ","4.110,03","40,72%"
"12147-0 ","TINTA INKBANK EPSON E850 CYAN 1LT (CX C/ 20)-. ","52,00 ","UN ","31,36 ","1.122,66 ","1.630,72","31,16%"
"12148-0 ","TINTA INKBANK EPSON E850 MAG 1LT (CX C/ 20)-. ","58,00 ","UN ","32,85 ","1.251,34 ","1.905,16","34,32%"
"12149-0 ","TINTA INKBANK EPSON E850 YELL 1LT (CX C/ 20)-. ","55,00 ","UN ","31,72 ","1.186,76 ","1.744,78","31,98%"
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","304,00 ","UN ","5,34 ","842,27 ","1.622,38","48,08%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","151,00 ","UN ","5,04 ","415,49 ","761,38","45,43%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","62,00 ","UN ","5,24 ","168,19 ","324,76","48,21%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","185,00 ","UN ","5,09 ","502,82 ","941,83","46,61%"
"12174-0 ","TINTA INKBANK EPSON E850/664 BLACK 100ML (CX C/ 100)-. ","41,00 ","UN ","5,75 ","128,63 ","235,78","45,44%"
"12175-0 ","TINTA INKBANK EPSON E850/664 CYAN 100ML (CX C/ 100)-. ","22,00 ","UN ","5,19 ","65,33 ","114,11","42,75%"
"12176-0 ","TINTA INKBANK EPSON E850/664 MAG 100ML (CX C/ 100)-. ","23,00 ","UN ","5,25 ","67,76 ","120,83","43,92%"
"12177-0 ","TINTA INKBANK EPSON E850/664 YELL 100ML (CX C/ 100)-. ","26,00 ","UN ","5,47 ","77,18 ","142,10","45,69%"
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","129,00 ","UN ","5,75 ","444,71 ","741,50","40,03%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","54,00 ","UN ","5,81 ","183,76 ","313,50","41,38%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","63,00 ","UN ","5,76 ","214,14 ","362,82","40,98%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","59,00 ","UN ","5,64 ","200,10 ","332,77","39,87%"
"12159-0 ","TINTA INKBANK H971 BK 1L-. ","4,00 ","UN ","45,00 ","93,38 ","180,00","48,12%"
"12160-0 ","TINTA INKBANK H971 CYAN 1L-. ","1,00 ","UN ","45,00 ","22,95 ","45,00","49,00%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","48,00 ","UN ","32,96 ","845,21 ","1.582,27","46,58%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","33,00 ","UN ","32,38 ","594,00 ","1.068,68","44,42%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","33,00 ","UN ","32,05 ","591,34 ","1.057,66","44,09%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","31,00 ","UN ","32,59 ","556,93 ","1.010,42","44,88%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","183,00 ","UN ","4,90 ","473,06 ","896,19","47,21%"
"12164-0 ","TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-. ","67,00 ","UN ","4,92 ","173,82 ","329,50","47,25%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","69,00 ","UN ","4,81 ","178,46 ","332,20","46,28%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","67,00 ","UN ","4,70 ","173,23 ","315,19","45,04%"
,"Total : ",,,,,,
,,"1.950,00 ",,"11,50","13.059,40 ","22.431,56","41,78%"
"19.237 ",TINTA | MARABU,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12198-0 ","TINTA MARAJET DI-E 439 MAGENTA GRF 1L-. ","1,00 ","UN ","279,00 ","166,50 ","279,00","40,32%"
"12197-0 ","TINTA MARAJET DI-E 459 CYAN GRF 1L-. ","1,00 ","UN ","279,00 ","178,97 ","279,00","35,85%"
"12195-0 ","TINTA MARAJET DI-LSX 428 YELLOW 500 ML-. ","1,00 ","UN ","135,00 ","121,00 ","135,00","10,37%"
"12194-0 ","TINTA MARAJET DI-LSX 438 MAGENTA 500 ML-. ","2,00 ","UN ","138,26 ","249,07 ","276,52","9,93%"
"12196-0 ","TINTA MARAJET DI-LSX 488 BLACK 500 ML-. ","2,00 ","UN ","103,00 ","242,00 ","206,00","-17,48%"
,"Total : ",,,,,,
,,"7,00 ",,"167,93","957,54 ","1.175,52","18,54%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0041/ ",0078
PB,JOAO PESSOA,,,,,,
"20.165 ",ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"15012-0 ","ALCOOL ISOPROPILICO QUIMAGRAF 1LT-. ","5,00 ","UN ","26,33 ","90,43 ","131,65","31,31%"
"15001-0 ","CLIP P/ CARTUCHO SERIE 3000/5000 PRETO 1X100 (CX C/ 30)-. ","6,00 ","PCT ","34,67 ","103,52 ","208,00","50,23%"
,"Total : ",,,,,,
,,"11,00 ",,"30,88","193,94 ","339,65","42,90%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115073-0LONA UNIBANNER BRILHO F.P. 1000x1000 300g 3,20mt-. ",,"6.480,00 ","M2 ","5,71 ","24.697,19 ","37.016,00","33,28%"
"20115145-0LONA UNIBANNER BRILHO F.P. 300x500 340g 3,20mt-. ",,"160,00 ","M2 ","6,60 ","625,92 ","1.056,00","40,73%"
"20115050-0LONA UNIBANNER BRILHO F.P. 300x500 380g 1,42mt-. ",,"284,00 ","M2 ","7,41 ","1.239,33 ","2.104,75","41,12%"
"20115054-0LONA UNIBANNER BRILHO F.P. 300x500 380g 2,20mt-. ",,"110,00 ","M2 ","7,40 ","468,12 ","814,00","42,49%"
"20115055-0LONA UNIBANNER BRILHO F.P. 300x500 380g 2,50mt-. ",,"125,00 ","M2 ","4,68 ","528,79 ","585,00","9,61%"
"20115047-0LONA UNIBANNER BRILHO F.P. 300x500 380g 3,20mt-. ",,"3.430,00 ","M2 ","5,16 ","15.337,41 ","17.709,84","13,40%"
"20115044-0LONA UNIBANNER BRILHO F.P. 300x500 440g 1,42mt-. ",,"142,00 ","M2 ","6,92 ","697,93 ","982,29","28,95%"
"20115059-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,20mt-. ",,"110,00 ","M2 ","5,67 ","548,39 ","623,15","12,00%"
"20115061-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,50mt-. ",,"250,00 ","M2 ","6,66 ","1.211,90 ","1.664,00","27,17%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"3.520,00 ","M2 ","5,84 ","17.873,39 ","20.557,60","13,06%"
"20115133-0LONA UNIBANNER BRILHO F.P. 500x500 280g 9*9 320cm-. ",,"2.400,00 ","M2 ","5,70 ","8.785,44 ","13.680,00","35,78%"
"20115064-0LONA UNIBANNER BRILHO FRONTLIGHT F.P. 200*300 280g 3.20mt-. ",,"440,00 ","M2 ","5,08 ","1.556,98 ","2.233,25","30,28%"
"2012050-0LONA UNIBANNER FOSCA F.P. 300x500 380g 3,20mt-. ",,"2.240,00 ","M2 ","5,69 ","10.184,72 ","12.744,80","20,09%"
"20115142-0LONA UNIBANNER FOSCO F.P. 440g 300x500 3,20mt-. ",,"128,00 ","M2 ","9,80 ","749,56 ","1.254,40","40,25%"
,"Total : ",,,,,,
,,"19.819,00 ",,"5,70","84.505,08 ","113.025,08","25,23%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0042/ ",0078
PB,JOAO PESSOA,,,,,,
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"3.127,00 ","M2 ","4,92 ","10.790,03 ","15.372,04","29,81%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"4.127,50 ","M2 ","4,79 ","14.034,62 ","19.788,48","29,08%"
"2011056-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,37mt-. ",,"685,00 ","M2 ","4,25 ","2.290,11 ","2.908,77","21,27%"
"2011104-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,52mt-. ",,"380,00 ","M2 ","3,93 ","1.312,60 ","1.491,50","11,99%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"2.014,00 ","M2 ","4,66 ","6.691,55 ","9.389,53","28,73%"
"2011116-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,27mt-. ",,"825,50 ","M2 ","4,86 ","2.786,78 ","4.013,20","30,56%"
"2011117-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,52mt-. ",,"2.280,00 ","M2 ","3,95 ","7.696,01 ","9.008,73","14,57%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"1.007,00 ","M2 ","3,58 ","2.994,87 ","3.602,31","16,86%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"1.651,00 ","M2 ","3,72 ","4.887,30 ","6.147,97","20,51%"
"2011047-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,52mt-. ",,"1.596,00 ","M2 ","3,45 ","4.767,27 ","5.500,94","13,34%"
"2011023-0VINIL UNITRAMA INFLEX UT80GR POLIMERICO CC C/ 1,37mt (IV2200)-. ",,"411,00 ","M2 ","10,28 ","2.978,70 ","4.223,30","29,47%"
"2011044-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.06mt-. ",,"371,00 ","M2 ","10,09 ","2.565,40 ","3.741,78","31,44%"
"2011024-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.37mt-. ",,"205,10 ","M2 ","9,02 ","1.381,23 ","1.849,48","25,32%"
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"424,00 ","M2 ","5,61 ","1.679,71 ","2.379,49","29,41%"
"2011006-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.27mt-. ",,"952,50 ","M2 ","4,91 ","3.596,16 ","4.675,24","23,08%"
"2011007-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.52mt-. ",,"380,00 ","M2 ","4,87 ","1.495,49 ","1.851,81","19,24%"
"2011054-0VINIL UNITRAMA UT100BK MATTE ( NV2113 ) C/ 1.52mt-. ",,"456,00 ","M2 ","4,98 ","1.698,47 ","2.271,48","25,23%"
"2011052-0VINIL UNITRAMA UT100BK MATTE ( NV2113/2205 ) C/ 1.06mt-. ",,"212,00 ","M2 ","6,65 ","810,40 ","1.409,80","42,52%"
"2011053-0VINIL UNITRAMA UT100BK MATTE ( NV2113/2205 ) C/ 1.27mt-. ",,"317,50 ","M2 ","5,49 ","1.288,22 ","1.742,00","26,05%"
"2011018-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,06mt-. ",,"742,00 ","M2 ","6,64 ","3.249,55 ","4.929,15","34,07%"
"2011019-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,27mt-. ",,"254,00 ","M2 ","6,07 ","1.098,51 ","1.541,10","28,72%"
"2011020-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,52mt-. ",,"1.140,00 ","M2 ","5,82 ","4.896,39 ","6.632,38","26,17%"
"2011012-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,06mt-. ",,"477,00 ","M2 ","8,03 ","2.280,09 ","3.832,01","40,50%"
"2011013-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,27mt-. ",,"317,50 ","M2 ","7,32 ","1.577,25 ","2.323,22","32,11%"
"2011015-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,52mt-. ",,"152,00 ","M2 ","5,67 ","758,39 ","861,84","12,00%"
"2011070-0VINIL UNITRAMA UT100WD (NV3801) PERMANENTE GREY MATTE C/ 1,06mt-. ",,"318,00 ","M2 ","7,96 ","1.621,23 ","2.532,13","35,97%"
,"Total : ",,,,,,
,,"24.822,60 ",,"5,00","91.226,31 ","124.019,68","26,44%"
,2003.2051 ACM | UNIBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013083-0ACM UNIBOND ESP.PRATA ESCOVADO 3mm 1.22 x 5.00mt T839-. ",,"5,00 ","UN ","441,01 ","1.940,45 ","2.205,06","12,00%"
,"Total : ",,,,,,
,,"5,00 ",,"441,01","1.940,45 ","2.205,06","12,00%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0043/ ",0078
PB,JOAO PESSOA,,,,,,
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013111-0ACM UNIBOND AMARELO ALTO BRILHO 3mm 1.50 x 5.00mt 8821-. ",,"6,00 ","UN ","439,92 ","2.182,92 ","2.639,51","17,30%"
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"1,00 ","UN ","421,84 ","371,21 ","421,84","12,00%"
"2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm 1.50 x 5.00mt T805-. ",,"6,00 ","UN ","541,66 ","2.216,79 ","3.249,95","31,79%"
"2013197-0ACM UNIBOND BRANCO FOSCO 3mm 1.50 x 5.00mt UNI8813-. ",,"4,00 ","UN ","415,83 ","1.433,57 ","1.663,30","13,81%"
"2013198-0ACM UNIBOND BRONZE 3mm 1.50 x 5.00mt 8812-. ",,"5,00 ","UN ","415,19 ","1.826,83 ","2.075,95","12,00%"
"2013209-0ACM UNIBOND DEEP GREY 3mm 1.50 x 5.00mt 8872-. ",,"5,00 ","UN ","402,50 ","1.822,01 ","2.012,50","9,47%"
"2013074-0ACM UNIBOND GRAFITE 3mm 1.50 x 5.00mt 8863-. ",,"6,00 ","UN ","552,91 ","2.207,69 ","3.317,46","33,45%"
"2013206-0ACM UNIBOND GRAFITE ESCURO 3mm 1.50 x 5.00mt 8865-. ",,"9,00 ","UN ","421,22 ","3.282,59 ","3.791,00","13,41%"
"2013081-0ACM UNIBOND PRATA METALIZADO 3mm 1.50 x 5.00mt 8801-. ",,"42,00 ","UN ","586,31 ","15.243,20 ","24.624,85","38,10%"
"2013085-0ACM UNIBOND PRETO ALTO BRILHO 3mm 1.50 x 5.00mt T804-. ",,"12,00 ","UN ","407,56 ","4.401,62 ","4.890,71","10,00%"
"2013050-0ACM UNIBOND PRETO FOSCO 3mm 1.50 x 5.00mt UNI8866-. ",,"8,00 ","UN ","506,14 ","2.957,08 ","4.049,15","26,97%"
"2013213-0ACM UNIBOND PURPLE ALTO BRILHO 3mm 1.50 x 5.00mt GZS 200407-. ",,"2,00 ","UN ","349,09 ","614,39 ","698,17","12,00%"
"2013200-0ACM UNIBOND RUBI 3mm 1.50 x 5.00mt 8833-. ",,"4,00 ","UN ","421,61 ","1.452,34 ","1.686,43","13,88%"
"2013201-0ACM UNIBOND VERDE INTENSO 3mm 1.50 x 5.00mt 8840-. ",,"2,00 ","UN ","406,00 ","720,64 ","812,00","11,25%"
"2013202-0ACM UNIBOND VERDE TELECOM 3mm 1.50 x 5.00mt 8837-. ",,"1,00 ","UN ","427,02 ","375,78 ","427,02","12,00%"
"2013097-0ACM UNIBOND VERMELHO ALTO BRILHO 3mm 1.50 x 5.00mt T802-. ",,"12,00 ","UN ","409,58 ","4.412,03 ","4.915,00","10,23%"
,"Total : ",,,,,,
,,"125,00 ",,"490,20","45.520,71 ","61.274,84","25,71%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0044/ ",0078
PB,JOAO PESSOA,,,,,,
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-. ",,"6,00 ","UN ","339,75 ","1.573,25 ","2.038,50","22,82%"
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"35,00 ","UN ","322,11 ","9.263,24 ","11.273,87","17,83%"
"2013119-0ACM SIGNBOND AZUL PHARMACO 3mm 1.22 x 5.00mt-. ",,"2,00 ","UN ","445,00 ","528,18 ","890,00","40,65%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"67,00 ","UN ","328,63 ","16.918,18 ","22.018,10","23,16%"
"2013125-0ACM SIGNBOND BRANCO FOSCO 3mm 1.22 x 5.00mt 8813-. ",,"6,00 ","UN ","412,34 ","1.564,51 ","2.474,05","36,76%"
"2013145-0ACM SIGNBOND CAFE 3mm 1.22 x 5.00mt 8834-. ",,"5,00 ","UN ","301,20 ","1.325,26 ","1.505,99","12,00%"
"2013144-0ACM SIGNBOND CHAMPAGNE 3mm 1.22 x 5.00mt 8808-. ",,"5,00 ","UN ","296,06 ","1.302,67 ","1.480,30","12,00%"
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"4,00 ","UN ","289,00 ","1.060,09 ","1.155,99","8,30%"
"2013120-0ACM SIGNBOND ESP. ACO CORTEN 3mm 1.22 x 5.00mt-. ",,"2,00 ","UN ","670,00 ","801,35 ","1.340,00","40,20%"
"2013136-0ACM SIGNBOND ESP.MADEIRA ESCURO 3mm 1.22 x 5.00mt T824-. ",,"13,00 ","UN ","533,59 ","5.142,15 ","6.936,64","25,87%"
"2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-. ",,"11,00 ","UN ","328,35 ","2.884,31 ","3.611,90","20,14%"
"2013155-0ACM SIGNBOND GRAFITE ESCURO 3mm 1.22 x 5.00mt 8865-. ",,"23,00 ","UN ","308,40 ","6.083,78 ","7.093,26","14,23%"
"2013156-0ACM SIGNBOND IVORY WHITE 3mm 1.22 x 5.00mt 8815-. ",,"9,00 ","UN ","377,55 ","2.377,69 ","3.397,94","30,03%"
"2013134-0ACM SIGNBOND LARANJA ALTO BRILHO 3mm 1.22 x 5.00mt T801-. ",,"4,00 ","UN ","298,62 ","1.051,13 ","1.194,48","12,00%"
"2013126-0ACM SIGNBOND PRATA METALIZADO 3mm 1.22 x 5.00mt 8801-. ",,"1,00 ","UN ","298,13 ","262,36 ","298,13","12,00%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"18,00 ","UN ","309,47 ","4.754,76 ","5.570,39","14,64%"
"2013128-0ACM SIGNBOND PRETO FOSCO 3mm 1.22 x 5.00mt UNI8866-. ",,"10,00 ","UN ","354,59 ","2.646,15 ","3.545,91","25,37%"
"2013164-0ACM SIGNBOND PURPLE ALTO BRILHO 3mm 1.22 x 5.00mt GZS200407-. ",,"2,00 ","UN ","368,28 ","525,46 ","736,56","28,66%"
"2013121-0ACM SIGNBOND ROSA CLARO 3mm 1.22 x 5.00mt 8825-. ",,"7,00 ","UN ","371,29 ","1.826,81 ","2.599,00","29,71%"
"2013137-0ACM SIGNBOND RUBI 3mm 1.22 x 5.00mt UNI8833-. ",,"1,00 ","UN ","301,06 ","264,93 ","301,06","12,00%"
"2013157-0ACM SIGNBOND SILVER GREY 3mm 1.22 x 5.00mt 8802-. ",,"2,00 ","UN ","368,18 ","521,58 ","736,35","29,17%"
"2013135-0ACM SIGNBOND VERDE INTENSO 3mm 1.22 x 5.00mt 8840-. ",,"4,00 ","UN ","371,00 ","1.056,42 ","1.484,00","28,81%"
"2013153-0ACM SIGNBOND VERDE TELECOM 3mm 1.22 x 5.00mt 8837-. ",,"1,00 ","UN ","299,61 ","263,66 ","299,61","12,00%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"27,00 ","UN ","347,19 ","7.101,24 ","9.374,08","24,25%"
,"Total : ",,,,,,
,,"265,00 ",,"344,74","71.099,16 ","91.356,11","22,17%"
,2003.2054 ACM | PVDF,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013191-0ACM UNIBOND ARCHIE AZUL FOSCO PVDF 4mm (0.30) 1.50 x 5.00mt (8852)-. ",,"10,00 ","UN ","1.500,00 ","9.128,09 ","15.000,00","39,15%"
"2013212-0ACM UNIBOND ARCHIE GRAFITE ESCURO PVDF 4mm (0.30) 1.50 x 5.00mt-. ",,"5,00 ","UN ","770,18 ","3.388,78 ","3.850,88","12,00%"
"2013194-0ACM UNIBOND ARCHIE MADEIRA PVDF 4mm (0.30) 1.50 x 5.00mt (T824)-. ",,"6,00 ","UN ","842,67 ","4.449,28 ","5.056,00","12,00%"
"2013115-0ACM UNIBOND ARCHIE PRETO FOSCO PVDF 4mm (0.30) 1.50 x 5.00mt (8866)-. ",,"2,00 ","UN ","804,96 ","1.370,74 ","1.609,91","14,86%"
,"Total : ",,,,,,
,,"23,00 ",,"1.109,43","18.336,89 ","25.516,79","28,14%"
,2015.2012 PSAI | MAXPOLI,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017500-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA * 090 (1mm)-. ",,"4,00 ","UN ","28,80 ","101,38 ","115,20","12,00%"
"2017502-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA * 280 (3mm)-. ",,"8,00 ","UN ","99,48 ","661,59 ","795,84","16,87%"
"2017503-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA* 180 (2mm)-. ",,"8,00 ","UN ","60,66 ","405,48 ","485,28","16,44%"
"2017505-0CHAPA PS RES PSAI 1,40 X 5,00 MT BRANCA * 180 (2mm)-. ",,"3,00 ","UN ","203,47 ","556,26 ","610,41","8,87%"
,"Total : ",,,,,,
,,"23,00 ",,"87,25","1.724,71 ","2.006,73","14,05%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0045/ ",0078
PB,JOAO PESSOA,,,,,,
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019100-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 02MM-. ",,"7,00 ","UN ","43,93 ","195,50 ","307,48","36,42%"
"2019101-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 03MM-. ",,"7,00 ","UN ","41,38 ","258,05 ","289,64","10,91%"
"2019121-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 05MM-. ",,"7,00 ","UN ","75,29 ","415,22 ","527,04","21,22%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"57,00 ","UN ","132,72 ","6.014,93 ","7.564,97","20,49%"
"2019111-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 15MM-. ",,"4,00 ","UN ","172,14 ","645,42 ","688,56","6,27%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"6,00 ","UN ","261,08 ","1.295,19 ","1.566,50","17,32%"
,"Total : ",,,,,,
,,"88,00 ",,"124,37","8.824,31 ","10.944,19","19,37%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
